noise_type,N_T,A_T
brightness, 2, 0.103200
brightness, 12, 0.650900
brightness, 22, 0.743400
brightness, 32, 0.749500
brightness, 42, 0.738000
brightness, 52, 0.756900
brightness, 62, 0.754800
brightness, 72, 0.100200
brightness, 82, 0.543200
brightness, 92, 0.699800
brightness, 102, 0.709000
brightness, 112, 0.717200
brightness, 122, 0.726300
brightness, 132, 0.100000
brightness, 142, 0.567200
brightness, 152, 0.499900
brightness, 162, 0.715000
brightness, 172, 0.731800
brightness, 182, 0.769000
brightness, 192, 0.745400
contrast, 2, 0.100000
contrast, 12, 0.142400
contrast, 22, 0.175400
contrast, 32, 0.181600
contrast, 42, 0.117300
contrast, 52, 0.282400
contrast, 62, 0.249500
contrast, 72, 0.090100
contrast, 82, 0.151200
contrast, 92, 0.265300
contrast, 102, 0.290500
contrast, 112, 0.367200
contrast, 122, 0.312400
contrast, 132, 0.100000
contrast, 142, 0.156300
contrast, 152, 0.187600
contrast, 162, 0.261800
contrast, 172, 0.290800
contrast, 182, 0.247900
contrast, 192, 0.327300
defocus_blur, 2, 0.100000
defocus_blur, 12, 0.536200
defocus_blur, 22, 0.536500
defocus_blur, 32, 0.662900
defocus_blur, 42, 0.653400
defocus_blur, 52, 0.591400
defocus_blur, 62, 0.627600
defocus_blur, 72, 0.128700
defocus_blur, 82, 0.492400
defocus_blur, 92, 0.678200
defocus_blur, 102, 0.653700
defocus_blur, 112, 0.597400
defocus_blur, 122, 0.669400
defocus_blur, 132, 0.100000
defocus_blur, 142, 0.399200
defocus_blur, 152, 0.606100
defocus_blur, 162, 0.551700
defocus_blur, 172, 0.685800
defocus_blur, 182, 0.664900
defocus_blur, 192, 0.655400
elastic_transform, 2, 0.100000
elastic_transform, 12, 0.520000
elastic_transform, 22, 0.675100
elastic_transform, 32, 0.622200
elastic_transform, 42, 0.667700
elastic_transform, 52, 0.650900
elastic_transform, 62, 0.619400
elastic_transform, 72, 0.306600
elastic_transform, 82, 0.315800
elastic_transform, 92, 0.674600
elastic_transform, 102, 0.591300
elastic_transform, 112, 0.567000
elastic_transform, 122, 0.635300
elastic_transform, 132, 0.100300
elastic_transform, 142, 0.370500
elastic_transform, 152, 0.585100
elastic_transform, 162, 0.607900
elastic_transform, 172, 0.634400
elastic_transform, 182, 0.678300
elastic_transform, 192, 0.577900
fog, 2, 0.113900
fog, 12, 0.252400
fog, 22, 0.133300
fog, 32, 0.401200
fog, 42, 0.486500
fog, 52, 0.454500
fog, 62, 0.496300
fog, 72, 0.176700
fog, 82, 0.207300
fog, 92, 0.286000
fog, 102, 0.591500
fog, 112, 0.291100
fog, 122, 0.427200
fog, 132, 0.100000
fog, 142, 0.127100
fog, 152, 0.156100
fog, 162, 0.557300
fog, 172, 0.503300
fog, 182, 0.549500
fog, 192, 0.580000
frost, 2, 0.100000
frost, 12, 0.401900
frost, 22, 0.670800
frost, 32, 0.659400
frost, 42, 0.593400
frost, 52, 0.638900
frost, 62, 0.686100
frost, 72, 0.120400
frost, 82, 0.135900
frost, 92, 0.651800
frost, 102, 0.629200
frost, 112, 0.629300
frost, 122, 0.604200
frost, 132, 0.120700
frost, 142, 0.452500
frost, 152, 0.631600
frost, 162, 0.612100
frost, 172, 0.655300
frost, 182, 0.657600
frost, 192, 0.705100
gaussian_blur, 2, 0.113100
gaussian_blur, 12, 0.607000
gaussian_blur, 22, 0.437500
gaussian_blur, 32, 0.605500
gaussian_blur, 42, 0.509900
gaussian_blur, 52, 0.662200
gaussian_blur, 62, 0.612000
gaussian_blur, 72, 0.389200
gaussian_blur, 82, 0.553300
gaussian_blur, 92, 0.463300
gaussian_blur, 102, 0.639600
gaussian_blur, 112, 0.654100
gaussian_blur, 122, 0.633600
gaussian_blur, 132, 0.100000
gaussian_blur, 142, 0.234600
gaussian_blur, 152, 0.580200
gaussian_blur, 162, 0.644100
gaussian_blur, 172, 0.630500
gaussian_blur, 182, 0.640800
gaussian_blur, 192, 0.630800
gaussian_noise, 2, 0.216800
gaussian_noise, 12, 0.576500
gaussian_noise, 22, 0.695500
