noise_type,N_T,A_T,lr,ewc_lambda,zeta
brightness, 2, 0.629600,0.000010,100.000000,2.000000
brightness, 52, 0.760600,0.010000,1.000000,2.000000
brightness, 102, 0.782900,0.001000,1.000000,2.000000
brightness, 152, 0.775500,0.001000,1.000000,2.000000
brightness, 202, 0.776700,0.001000,1.000000,2.000000
brightness, 252, 0.792800,0.001000,1.000000,2.000000
brightness, 302, 0.793400,0.001000,1.000000,2.000000
brightness, 352, 0.790700,0.001000,1.000000,2.000000
brightness, 402, 0.779200,0.001000,1.000000,2.000000
brightness, 452, 0.781400,0.000010,80.000000,2.000000
contrast, 2, 0.100000,0.010000,1.000000,2.000000
contrast, 52, 0.430200,0.001000,1.000000,2.000000
contrast, 102, 0.455200,0.010000,1.000000,2.000000
contrast, 152, 0.586300,0.001000,1.000000,2.000000
contrast, 202, 0.427600,0.001000,1.000000,2.000000
contrast, 252, 0.648900,0.001000,1.000000,2.000000
contrast, 302, 0.663400,0.001000,1.000000,2.000000
contrast, 352, 0.664300,0.001000,1.000000,2.000000
contrast, 402, 0.659400,0.001000,1.000000,2.000000
contrast, 452, 0.585700,0.000010,100.000000,2.000000
defocus_blur, 2, 0.437700,0.000010,1.000000,2.000000
defocus_blur, 52, 0.671400,0.010000,1.000000,2.000000
defocus_blur, 102, 0.732300,0.001000,1.000000,2.000000
defocus_blur, 152, 0.727700,0.001000,1.000000,2.000000
defocus_blur, 202, 0.696400,0.001000,1.000000,2.000000
defocus_blur, 252, 0.735000,0.001000,1.000000,2.000000
defocus_blur, 302, 0.757600,0.001000,1.000000,2.000000
defocus_blur, 352, 0.756800,0.001000,1.000000,2.000000
defocus_blur, 402, 0.746700,0.001000,1.000000,2.000000
defocus_blur, 452, 0.743000,0.000010,20.000000,2.000000
elastic_transform, 2, 0.561200,0.000010,80.000000,2.000000
elastic_transform, 52, 0.696800,0.001000,1.000000,2.000000
elastic_transform, 102, 0.711600,0.001000,1.000000,2.000000
elastic_transform, 152, 0.708500,0.001000,1.000000,2.000000
elastic_transform, 202, 0.671500,0.001000,1.000000,2.000000
elastic_transform, 252, 0.714400,0.001000,1.000000,2.000000
elastic_transform, 302, 0.713800,0.001000,1.000000,2.000000
elastic_transform, 352, 0.700600,0.001000,1.000000,2.000000
elastic_transform, 402, 0.719100,0.001000,1.000000,2.000000
elastic_transform, 452, 0.706800,0.000010,50.000000,2.000000
