noise_type,N_T,A_T,lr,ewc_lambda,zeta
jpeg_compression, 2, 0.508300,0.001000,2.000000,1.000000
jpeg_compression, 27, 0.513900,0.001000,0.250000,1.000000
jpeg_compression, 52, 0.498400,0.001000,1.000000,1.000000
jpeg_compression, 77, 0.512400,0.001000,1.000000,1.000000
jpeg_compression, 102, 0.517100,0.001000,0.750000,1.000000
motion_blur, 2, 0.424600,0.001000,0.500000,1.000000
motion_blur, 27, 0.444600,0.001000,0.500000,1.000000
motion_blur, 52, 0.478100,0.001000,2.000000,1.000000
motion_blur, 77, 0.492200,0.001000,0.750000,1.000000
motion_blur, 102, 0.493100,0.001000,0.750000,1.000000
pixelate, 2, 0.499800,0.001000,0.250000,1.000000
pixelate, 27, 0.451200,0.010000,2.000000,1.000000
pixelate, 52, 0.472300,0.001000,0.750000,1.000000
pixelate, 77, 0.503100,0.001000,1.000000,1.000000
pixelate, 102, 0.467500,0.010000,1.000000,1.000000
shot_noise, 2, 0.391200,0.010000,2.000000,1.000000
shot_noise, 27, 0.361200,0.010000,2.000000,1.000000
shot_noise, 52, 0.380300,0.010000,0.250000,1.000000
shot_noise, 77, 0.402700,0.010000,0.250000,1.000000
shot_noise, 102, 0.423200,0.010000,0.750000,1.000000
snow, 2, 0.430000,0.010000,0.250000,1.000000
snow, 27, 0.447900,0.010000,2.000000,1.000000
snow, 52, 0.412300,0.010000,0.250000,1.000000
snow, 77, 0.469600,0.001000,1.000000,1.000000
snow, 102, 0.449800,0.010000,2.000000,1.000000
zoom_blur, 2, 0.447100,0.001000,2.000000,1.000000
zoom_blur, 27, 0.418600,0.010000,1.000000,1.000000
zoom_blur, 52, 0.477700,0.001000,0.500000,1.000000
zoom_blur, 77, 0.511400,0.001000,0.500000,1.000000
zoom_blur, 102, 0.475800,0.010000,2.000000,1.000000
